Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68777e60305b5c1badda669b,6790424f07e8cf86c53c6088,APPROVED,Not Applicable,2025-07-16T10:26:50.326000Z,2025-07-16T10:34:04.694000Z,2025-07-16T10:34:07.197000Z,2025-07-16T10:34:05.173604Z,435.0,CHFTNE6M,1224,33,Female,White,United States,United States,United States,English,Yes,Part-Time
68777ebe8d5926f23bdbf322,5cd3d5760b858f0016ccd823,APPROVED,Not Applicable,2025-07-16T10:28:18.241000Z,2025-07-16T10:32:12.308000Z,2025-07-16T10:54:31.143000Z,2025-07-16T10:32:12.754102Z,235.0,CHFTNE6M,1742,34,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68777f7224f0979517771b8e,651ebcca48c60acc82f1f2bd,APPROVED,Not Applicable,2025-07-16T10:31:18.296000Z,2025-07-16T10:36:09.597000Z,2025-07-16T10:54:31.405000Z,2025-07-16T10:36:10.010641Z,292.0,CHFTNE6M,4476,67,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68777f773c19d2387ba02625,628f572a2d1304a34b9e1a37,APPROVED,Not Applicable,2025-07-16T10:31:23.580000Z,2025-07-16T10:35:16.074000Z,2025-07-16T10:54:31.629000Z,2025-07-16T10:35:16.491682Z,233.0,CHFTNE6M,6326,76,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68777f94e9ff5d409f6e77b3,6643b96e963b9b0cf7d216f3,APPROVED,Not Applicable,2025-07-16T10:31:52.122000Z,2025-07-16T10:35:45.541000Z,2025-07-16T10:54:31.876000Z,2025-07-16T10:36:01.766516Z,234.0,CHFTNE6M,1675,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68777fb76a33e61fbb3ccc29,6755ad907901f7517e48451b,APPROVED,Not Applicable,2025-07-16T10:32:28.555000Z,2025-07-16T10:39:31.364000Z,2025-07-16T10:39:32.699000Z,2025-07-16T10:39:31.795092Z,423.0,CHFTNE6M,1934,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68777fb9ef434ca9b88a20fc,6784cd4c648d7fe55ab2ff24,APPROVED,Not Applicable,2025-07-16T10:34:04.909000Z,2025-07-16T10:49:31.395000Z,2025-07-16T10:49:34.278000Z,2025-07-16T10:49:32.142467Z,927.0,CHFTNE6M,1010,63,Male,White,United States,United States,United States,English,Yes,Full-Time
68777fbfb65701f9cb459b5c,67f015260f679212b3c34caa,APPROVED,Not Applicable,2025-07-16T10:32:44.117000Z,2025-07-16T10:41:26.455000Z,2025-07-16T10:41:26.976000Z,2025-07-16T10:41:26.881166Z,523.0,CHFTNE6M,1313,48,Female,White,United States,United States,United States,English,No,Full-Time
68777fc71dfc2f67dddb7be0,5c0f500787e876000151fc5f,APPROVED,Not Applicable,2025-07-16T10:32:43.999000Z,2025-07-16T10:37:07.138000Z,2025-07-16T10:54:32.114000Z,2025-07-16T10:37:07.573610Z,264.0,CHFTNE6M,5788,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68777fc8c6cda202605226a4,62794a276fc2c539bfea92e3,APPROVED,Not Applicable,2025-07-16T10:32:47.616000Z,2025-07-16T10:37:26.955000Z,2025-07-16T10:54:32.375000Z,2025-07-16T10:37:27.384293Z,280.0,CHFTNE6M,4965,59,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68777fd05798c00a149bb1bd,67e7d7ba69a2afc3b987fd3f,APPROVED,Not Applicable,2025-07-16T10:32:55.632000Z,2025-07-16T10:39:38.944000Z,2025-07-16T10:39:39.996000Z,2025-07-16T10:39:39.364003Z,404.0,CHFTNE6M,1453,37,Male,White,United States,United States,United States,English,No,Full-Time
68777fd918ad86b7dec0f9a3,61219fd8387ca59d07e0dc1c,APPROVED,Not Applicable,2025-07-16T10:33:54.730000Z,2025-07-16T10:40:54.082000Z,2025-07-16T10:40:54.623000Z,2025-07-16T10:40:54.528848Z,420.0,CHFTNE6M,7840,56,Female,White,United States,United States,United States,English,No,Full-Time
68777fdd9b90bf28ac20f7ab,67f224dfcaaa213111714560,APPROVED,Not Applicable,2025-07-16T10:33:05.996000Z,2025-07-16T10:42:31.434000Z,2025-07-16T10:42:34.414000Z,2025-07-16T10:42:31.854726Z,566.0,CHFTNE6M,1356,33,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
687780142a212508b6746457,63fcf26a814570a76bcf2237,APPROVED,Not Applicable,2025-07-16T10:34:01.634000Z,2025-07-16T10:38:42.474000Z,2025-07-16T10:54:32.602000Z,2025-07-16T10:38:42.914057Z,281.0,CHFTNE6M,5530,34,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68778026226705126891e26e,67104c7deff954cb22438402,APPROVED,Not Applicable,2025-07-16T10:34:58.847000Z,2025-07-16T10:39:23.126000Z,2025-07-16T10:54:32.829000Z,2025-07-16T10:39:23.539185Z,265.0,CHFTNE6M,2951,49,Female,White,United States,United States,United States,English,No,Other
687780273c19d2387ba0264a,6703a8492c7e38dd173549e5,APPROVED,Not Applicable,2025-07-16T10:34:23.294000Z,2025-07-16T10:43:49.920000Z,2025-07-16T10:43:52.099000Z,2025-07-16T10:43:50.331253Z,567.0,CHFTNE6M,1362,46,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68778028265aac9e56e64bf1,605733fb52820cc2a723fea3,APPROVED,Not Applicable,2025-07-16T10:34:24.440000Z,2025-07-16T10:42:19.480000Z,2025-07-16T10:42:20.026000Z,2025-07-16T10:42:19.926361Z,476.0,CHFTNE6M,1657,51,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6877802af5dbebb171183483,655f9bb3070d42d4bc67e866,APPROVED,Not Applicable,2025-07-16T10:34:23.399000Z,2025-07-16T10:41:20.361000Z,2025-07-16T10:41:23.571000Z,2025-07-16T10:41:20.795074Z,417.0,CHFTNE6M,3380,26,Female,Black,United States,United States,United States,English,No,Full-Time
6877802b36b2e67303801477,67e727e0e5b6fb17d760f39f,APPROVED,Not Applicable,2025-07-16T10:34:27.225000Z,2025-07-16T10:51:56.304000Z,2025-07-16T10:51:58.179000Z,2025-07-16T10:51:56.761282Z,1050.0,CHFTNE6M,1803,37,Female,Black,United States,United States,United States,English,No,Full-Time
6877802e60f4ed0edd94d5d9,673c21dee6f1a6d3e7f6caa6,APPROVED,Not Applicable,2025-07-16T10:34:32.442000Z,2025-07-16T10:55:02.325000Z,2025-07-16T10:55:02.898000Z,2025-07-16T10:55:02.760267Z,1230.0,CHFTNE6M,1132,25,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
687780343928cd73733fa86f,677fd8f97de41a9b7be91145,APPROVED,Not Applicable,2025-07-16T10:34:45.426000Z,2025-07-16T10:41:08.013000Z,2025-07-16T10:41:10.514000Z,2025-07-16T10:41:08.431781Z,383.0,CHFTNE6M,1573,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6877805bc6cda202605226cf,5e00f9a211999fcea4169800,APPROVED,Not Applicable,2025-07-16T10:35:15.949000Z,2025-07-16T10:43:22.604000Z,2025-07-16T10:43:23.136000Z,2025-07-16T10:43:23.028144Z,487.0,CHFTNE6M,3167,66,Male,Black,United States,United States,United States,English,No,Full-Time
687780720cb8eea82f243abe,5a9aa127873cda0001dcaec7,APPROVED,Not Applicable,2025-07-16T10:35:41.387000Z,2025-07-16T10:39:57.511000Z,2025-07-16T10:54:33.069000Z,2025-07-16T10:39:57.980400Z,257.0,CHFTNE6M,1793,46,Female,White,United States,United States,United States,English,No,Full-Time
